handle,category,regions,notes
thestudyofwar.bsky.social,researcher,"Ukraine,Iran",ISW-style war and security analysis
bellingcat.com,osint,"Ukraine,Myanmar,Iran",Open-source investigations and verification
osinttechnical.bsky.social,osint,"Ukraine,Iran,Sudan,Myanmar",Conflict and military OSINT
rebel44cz.bsky.social,osint,Ukraine,Ukraine war losses and military OSINT
covertshores.bsky.social,osint,"Ukraine,Iran",Naval and defense analysis
paulmcleary.bsky.social,journalist,"Ukraine,Iran",U.S. defense and national security reporting
rhfontaine.bsky.social,researcher,Ukraine,U.S. national security policy analysis
liveuamap.com,aggregator,Ukraine,Useful for event discovery
kyivindependent.com,local_media,Ukraine,Ukrainian reporting in English
pravda.ua,local_media,Ukraine,Ukrainian news source
defense-of-ukraine.bsky.social,government,Ukraine,Verify authenticity before relying on it
uacontrolmap.bsky.social,osint,Ukraine,Frontline/geolocation-oriented updates
osintukraine.com,osint,Ukraine,Ukraine-focused OSINT
newsfeedukraine.bsky.social,aggregator,Ukraine,Ukraine news aggregation
imatv.bsky.social,journalist,Ukraine,Local Ukraine reporting perspective
lapatina.bsky.social,journalist,Ukraine,Ukraine/national security context
shayan86.bsky.social,journalist,Iran,Iran protest verification and disinformation context
ntabrizy.bsky.social,journalist,Iran,Visual verification and Iran-related reporting
smohyeddin.bsky.social,journalist,Iran,Iran-related journalism/commentary
warmonitor.net,aggregator,"Ukraine,Iran,Sudan",Verify against primary sources before high-confidence use
matnashed.bsky.social,journalist,Sudan,Sudan reporting
lighthousereports.com,osint,"Sudan,Ukraine",OSINT/investigative reporting
wammezz.bsky.social,researcher,"Sudan,Ukraine",Conflict drone warfare research
unishka.bsky.social,researcher,Sudan,Sudan OSINT and corruption research
bechamilton.bsky.social,researcher,Sudan,Atrocity prevention and Sudan policy context
emadbadi.bsky.social,researcher,"Sudan,Iran",Libya/UAE/Sudan regional conflict links
c4ads.org,researcher,"Sudan,Iran",Conflict finance and illicit networks
myanmar-now.bsky.social,local_media,Myanmar,Myanmar news
frontiermyanmar.bsky.social,local_media,Myanmar,Myanmar conflict and political reporting
dvbenglish.bsky.social,local_media,Myanmar,Myanmar news
gbutensky.bsky.social,osint,Myanmar,Burma/Myanmar-focused OSINT account
eoghanmacguire.bsky.social,osint,Myanmar,Bellingcat editor Myanmar airstrike/OSINT coverage
kasperhoffmann.bsky.social,researcher,Myanmar,Armed conflict and resource/conflict research
